a_data_processing.YouTube.main:2019-12-21 14:20:59,498:INFO:Starting YouTube API construct
a_data_processing.YouTube.main:2019-12-21 14:21:11,419:INFO:Starting process on trends, category 0 for country BR
a_data_processing.YouTube.api:2019-12-21 14:21:11,419:INFO:Initializing YouTube Api V3...
a_data_processing.YouTube.api:2019-12-21 14:21:11,419:INFO:Gathering user developer Key...
a_data_processing.YouTube.api:2019-12-21 14:21:13,163:INFO:Initializing api_manager
a_data_processing.YouTube.api:2019-12-21 14:21:13,163:INFO:Getting videos information from youtube...
a_data_processing.YouTube.api:2019-12-21 14:21:13,859:INFO:........Page 1
a_data_processing.YouTube.api:2019-12-21 14:21:14,622:INFO:........Page 2
a_data_processing.YouTube.api:2019-12-21 14:21:15,166:INFO:........Page 3
a_data_processing.YouTube.api:2019-12-21 14:21:15,829:INFO:........Page 4
a_data_processing.YouTube.api:2019-12-21 14:21:15,829:INFO:Getting channels information...
a_data_processing.YouTube.api:2019-12-21 14:21:15,844:INFO:........Channel 1
a_data_processing.YouTube.api:2019-12-21 14:21:16,071:INFO:........Channel 2
a_data_processing.YouTube.api:2019-12-21 14:21:16,299:INFO:........Channel 3
a_data_processing.YouTube.api:2019-12-21 14:21:16,533:INFO:........Channel 4
a_data_processing.YouTube.api:2019-12-21 14:21:16,768:INFO:........Channel 5
a_data_processing.YouTube.api:2019-12-21 14:21:17,025:INFO:........Channel 6
a_data_processing.YouTube.api:2019-12-21 14:21:17,239:INFO:........Channel 7
a_data_processing.YouTube.api:2019-12-21 14:21:17,456:INFO:........Channel 8
a_data_processing.YouTube.api:2019-12-21 14:21:17,721:INFO:........Channel 9
a_data_processing.YouTube.api:2019-12-21 14:21:17,942:INFO:........Channel 10
a_data_processing.YouTube.api:2019-12-21 14:21:18,171:INFO:........Channel 11
a_data_processing.YouTube.api:2019-12-21 14:21:18,384:INFO:........Channel 12
a_data_processing.YouTube.api:2019-12-21 14:21:18,588:INFO:........Channel 13
a_data_processing.YouTube.api:2019-12-21 14:21:18,807:INFO:........Channel 14
a_data_processing.YouTube.api:2019-12-21 14:21:19,027:INFO:........Channel 15
a_data_processing.YouTube.api:2019-12-21 14:21:19,236:INFO:........Channel 16
a_data_processing.YouTube.api:2019-12-21 14:21:19,469:INFO:........Channel 17
a_data_processing.YouTube.api:2019-12-21 14:21:19,797:INFO:........Channel 18
a_data_processing.YouTube.api:2019-12-21 14:21:20,013:INFO:........Channel 19
a_data_processing.YouTube.api:2019-12-21 14:21:20,223:INFO:........Channel 20
a_data_processing.YouTube.api:2019-12-21 14:21:20,433:INFO:........Channel 21
a_data_processing.YouTube.api:2019-12-21 14:21:21,168:INFO:........Channel 22
a_data_processing.YouTube.api:2019-12-21 14:21:21,372:INFO:........Channel 23
a_data_processing.YouTube.api:2019-12-21 14:21:21,607:INFO:........Channel 24
a_data_processing.YouTube.api:2019-12-21 14:21:21,841:INFO:........Channel 25
a_data_processing.YouTube.api:2019-12-21 14:21:22,071:INFO:........Channel 26
a_data_processing.YouTube.api:2019-12-21 14:21:22,281:INFO:........Channel 27
a_data_processing.YouTube.api:2019-12-21 14:21:22,484:INFO:........Channel 28
a_data_processing.YouTube.api:2019-12-21 14:21:22,734:INFO:........Channel 29
a_data_processing.YouTube.api:2019-12-21 14:21:22,945:INFO:........Channel 30
a_data_processing.YouTube.api:2019-12-21 14:21:23,171:INFO:........Channel 31
a_data_processing.YouTube.api:2019-12-21 14:21:23,397:INFO:........Channel 32
a_data_processing.YouTube.api:2019-12-21 14:21:23,615:INFO:........Channel 33
a_data_processing.YouTube.api:2019-12-21 14:21:23,818:INFO:........Channel 34
a_data_processing.YouTube.api:2019-12-21 14:21:24,072:INFO:........Channel 35
a_data_processing.YouTube.api:2019-12-21 14:21:24,284:INFO:........Channel 36
a_data_processing.YouTube.api:2019-12-21 14:21:24,487:INFO:........Channel 37
a_data_processing.YouTube.api:2019-12-21 14:21:24,706:INFO:........Channel 38
a_data_processing.YouTube.api:2019-12-21 14:21:24,914:INFO:........Channel 39
a_data_processing.YouTube.api:2019-12-21 14:21:25,132:INFO:........Channel 40
a_data_processing.YouTube.api:2019-12-21 14:21:25,373:INFO:........Channel 41
a_data_processing.YouTube.api:2019-12-21 14:21:25,592:INFO:........Channel 42
a_data_processing.YouTube.api:2019-12-21 14:21:25,873:INFO:........Channel 43
a_data_processing.YouTube.api:2019-12-21 14:21:26,084:INFO:........Channel 44
a_data_processing.YouTube.api:2019-12-21 14:21:26,310:INFO:........Channel 45
a_data_processing.YouTube.api:2019-12-21 14:21:26,513:INFO:........Channel 46
a_data_processing.YouTube.api:2019-12-21 14:21:26,762:INFO:........Channel 47
a_data_processing.YouTube.api:2019-12-21 14:21:26,973:INFO:........Channel 48
a_data_processing.YouTube.api:2019-12-21 14:21:27,219:INFO:........Channel 49
a_data_processing.YouTube.api:2019-12-21 14:21:27,467:INFO:........Channel 50
